Unique ID;Name;Division;UF
313.361;Ferroviário (MA);Sem divisão nacional;MA
19.302.103;Ferroviário (PI);Sem divisão nacional;PI
309.784;Ferroviário (PR);Sem divisão nacional;PR
314.078;Ferroviário (RO);Sem divisão nacional;RO
309.758;Ferroviário (SC);Sem divisão nacional;SC
301.232;Ferroviário de Serra;Sem divisão nacional;PE
319.154;Ferroviário do Cabo;Sem divisão nacional;PE
319.152;Ferroviário do Recife;Sem divisão nacional;PE
19.168.612;FF Sport;Sem divisão nacional;AL
301.306;Figueirense;Brasileirão Série C;SC
19.271.063;Figueirense (MG);Sem divisão nacional;MG
2.114.453;Figueirense B;Sem divisão nacional;SC
322;Flamengo;Brasileirão Assaí;RJ
308.183;Flamengo (PI);Sem divisão nacional;PI
314.616;Flamengo (RO);Sem divisão nacional;RO
2.000.291.266;Flamengo (SE);Sem divisão nacional;SE
311.020;Flamengo (SP);Sem divisão nacional;SP
309.771;Flamengo de Arcoverde;Sem divisão nacional;PE
19.205.119;Flamengo de Guanambi;Sem divisão nacional;BA
19.190.039;Flamengo de Recife;Sem divisão nacional;PE
2.000.003.895;Flamengo EC de Curitibanos;Sem divisão nacional;PR
19.270.038;Floresta (CE);Brasileirão Série C;CE
309.741;Floriano (ES);Sem divisão nacional;ES
323;Fluminense;Brasileirão Assaí;RJ
319.158;Fluminense (PI);Brasileirão Série D;PI
301.123;Fluminense de Feira;Sem divisão nacional;BA
19.247.178;Fluminense do Itaum;Sem divisão nacional;SC
320.389;Fonseca (RJ);Sem divisão nacional;RJ
19.005.336;Football & Athletic;Sem divisão nacional;RJ
313.782;Football AC (MA);Sem divisão nacional;MA
19.274.801;Força e Luz;Sem divisão nacional;RN
19.105.650;Força Jovem Aquidabã;Sem divisão nacional;SE
318.866;Formosa;Sem divisão nacional;GO
104.750;Fortaleza;Brasileirão Assaí;CE
19.066.538;Foz do Iguaçu;Sem divisão nacional;PR
19.215.308;Fragata FC;Sem divisão nacional;RS
301.340;Francana;Sem divisão nacional;SP
19.306.269;Freipaulistano;Sem divisão nacional;SE
107.212;Friburguense;Sem divisão nacional;RJ
19.106.492;Funorte;Sem divisão nacional;MG
2.000.297.236;Futebol com Vida;Sem divisão nacional;RS
2.000.278.502;Futsal Club (Brazil);Sem divisão nacional;
301.363;Galícia;Sem divisão nacional;BA
2.000.095.603;Galo Maringá;Sem divisão nacional;PR
19.164.456;Galvez (AC);Sem divisão nacional;AC
121.262;Gama;Sem divisão nacional;DF
19.005.850;Garibaldi;Sem divisão nacional;RS
301.298;GAS;Sem divisão nacional;RR
314.938;Gaúcho;Sem divisão nacional;RS
19.105.956;Gavião Kyikatejê;Sem divisão nacional;PA
19.019.868;GE Catanduvense (SP);Sem divisão nacional;SP
313.674;Gentilândia (CE);Sem divisão nacional;CE
301.290;Genus;Sem divisão nacional;RO
104.885;Germânia;Sem divisão nacional;SP
19.222.407;Globo;Brasileirão Série D;RN
314.936;Glória;Sem divisão nacional;RS
301.155;Goianésia;Sem divisão nacional;GO
301.157;Goiânia;Sem divisão nacional;GO
102.555;Goiás;Brasileirão Assaí;GO
301.159;Goiatuba;Sem divisão nacional;GO
19.248.712;Gonçalense;Sem divisão nacional;RJ
302.143;Goytacaz;Sem divisão nacional;RJ
19.147.284;Gramadense;Sem divisão nacional;RS
314.204;Grapiúna;Sem divisão nacional;BA
324;Grêmio;Brasileirão Assaí;RS
19.343.094;Grêmio (PE);Sem divisão nacional;PE
309.139;Grêmio Anápolis;Sem divisão nacional;GO
2.106.554;Grêmio Barueri;Sem divisão nacional;SP
19.100.644;Grêmio Brasiliense;Sem divisão nacional;DF
314.776;Grêmio Catanduvense;Sem divisão nacional;SP
8.832.363;Grêmio Coariense;Sem divisão nacional;AM
19.015.572;Grêmio Laranjeiras;Sem divisão nacional;ES
303.020;Grêmio Maringá;Sem divisão nacional;PR
19.144.990;Grêmio Novorizontino;Brasileirão Série B Betano;SP
19.060.644;Grêmio Osasco;Sem divisão nacional;SP
8.832.348;Grêmio Petrolândia;Sem divisão nacional;PE
19.042.909;Grêmio Prudente;Sem divisão nacional;SP
314.082;Grêmio Rondoniense;Sem divisão nacional;RO
309.739;Grêmio Santanense;Sem divisão nacional;RS
2.000.192.526;Gre^mio Valparaíso;Sem divisão nacional;GO
