1981;;;;;;;;;;Colocações finais;;;;;;;;;;;;;
Time;;PG;J;V;E;D;GP;GC;SG;Campeão; Olaria (1ª título);;;;;;;;;;;;
Grupo 27;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Ipatinga;12;6;4;0;2;10;6;4;;;;;;;;;;;;;;
2; Brasil de Pelotas;11;6;3;2;1;8;7;1;;;;;;;;;;;;;;
3; Noroeste;7;6;2;1;3;10;11;-1;;;;;;;;;;;;;;
4; Anapolina;3;6;0;3;3;5;9;-4;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
Grupo 28;;;;;;;;;;;;;;;;;;;;;;;
Grupo 28;;;;;;;;;;;;;;;;;;;;;;;
Team;;Pts;J;V;E;D;GP;GC;SG;;;;;;;;;;;;;;
1; Grêmio Barueri;12;6;4;0;2;10;9;1;;;;;;;;;;;;;;
2; Criciúma;10;6;3;1;2;7;4;3;;;;;;;;;;;;;;
3; América-MG;8;6;2;2;2;9;8;1;;;;;;;;;;;;;;
4; J. Malucelli;3;6;0;3;3;3;8;-5;;;;;;;;;;;;;;
"Pts – Pontos ganhos; J – Jogos; V - Vitórias; E - Empates; D - Derrotas;";;;;;;;;;;;;;;;;;;;;;;;
"GP – Gols pró; GC – Gols contra; SG – Saldo de gols";;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2007;;;;;;;;;;;;;;;;;;;;;;;
Classificação final;;;;;;;;;;;;Eliminados na primeira fase;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;;;Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;Colocações finais;
Promovidos à Série B em 2008;;;;;;;;;;;;33; Araguaína[nota 4];11;6;3;2;1;8;4;4;Campeão;Bragantino
1; Bragantino;55;32;16;7;9;46;32;14;;;34; Grêmio Jaciara;10;6;3;1;2;14;9;5;Vice-campeão;Bahia
2; Bahia;63;32;18;9;5;62;31;31;;;35; ADAP/Galo Maringá;8;6;2;2;2;10;8;2;Promovido(s);Bragantino
3; Vila Nova;57;32;17;6;9;59;41;18;;;36; CENE;8;6;2;2;2;6;7;–1;;Bahia
4; ABC;61;32;19;4;9;49;39;10;;;37; River-PI;8;6;2;2;2;9;11;–2;;Vila Nova
Eliminados na fase final;;;;;;;;;;;;38; Juventus-SP;8;6;1;5;0;3;2;1;;ABC
5; CRAC;55;32;17;4;11;50;34;16;;;39; Jaguaré;7;6;2;1;3;12;12;0;Estatísticas;
6; Atlético Goianiense;54;32;15;9;8;50;31;19;;;40; Ceilândia;7;6;2;1;3;6;7;–1;Melhor marcador;Túlio Maravilha (Vila Nova) – 27 gols
7; Barras;45;32;12;9;11;47;50;–3;;;41; Amapá;7;6;2;1;3;6;8;–2;Maior goleada;Villa Nova 7–1 Democrata GV
8; Nacional de Patos[nota 6];34;32;12;4;16;36;52;–16;;;42; Icasa;7;6;2;1;3;5;7;–2;(diferença);Estádio Castor Cifuentes, Nova Lima
Eliminados na terceira fase;;;;;;;;;;;;43; Cacerense;7;6;2;1;3;5;8;–3;;29 de julho, 1ª fase
9; Coruripe;34;18;10;4;4;26;15;11;;;44; Tupi;7;6;2;1;3;8;12;–4;;
10; Rio Branco-AC;32;18;9;5;4;32;20;12;;;45; Potiguar de Mossoró;7;6;1;4;1;10;8;2;;
11; Ulbra;27;18;7;6;5;26;21;5;;;46; Friburguense;7;6;1;4;1;5;5;0;;
12; America;25;18;7;4;7;27;29;–2;;;47; Noroeste;6;6;1;3;2;5;6;–1;;
13; Villa Nova;24;18;5;9;4;24;18;6;;;48; Central;6;6;1;3;2;9;11;–2;;
14; Tuna Luso;23;18;6;5;7;25;26;–1;;;49; Atlético de Alagoinhas;6;6;1;3;2;7;12;–5;;
15; Fast Clube;23;18;6;5;7;24;25;–1;;;50; São Raimundo-AM;5;6;1;2;3;5;7;–2;;
16; Esportivo;23;18;6;5;7;19;25;–6;;;51; Jaruense;5;6;1;2;3;7;14;–7;;
Eliminados na segunda fase;;;;;;;;;;;;52; Itapipoca;4;6;1;1;4;10;12;–2;;
17; Roma Apucarana;23;12;6;5;1;15;6;9;;;53; Poções;4;6;1;1;4;6;10;–4;;
18; Joinville;21;12;6;3;3;16;9;7;;;54; Sertãozinho;4;6;1;1;4;8;13;–5;;
19; Confiança;21;12;6;3;3;15;9;6;;;55; Chapecoense;4;6;1;1;4;5;10;–5;;
20; Ananindeua;19;12;5;4;3;18;16;2;;;56; São Raimundo-RR;4;6;1;1;4;8;14;–6;;
21; Guarani;18;12;5;3;4;14;12;2;;;57; América de Propriá;4;6;1;1;4;1;7;–6;;
22; Atlético Cajazeirense;16;12;5;1;6;14;16;–2;;;58; Vera Cruz;4;6;1;1;4;3;10;–7;;
23; Itumbiara;16;12;5;1;6;14;16;–2;;;59; Paranavaí;4;6;0;4;2;4;10;–6;;
24; Volta Redonda;15;12;4;3;5;13;12;1;;;60; Caxias;3;6;0;3;3;4;7;–3;;
25; Rio Claro;15;12;4;3;5;12;16;–4;;;61; Madureira;3;6;0;3;3;1;5;–4;;
26; Sampaio Corrêa;14;12;3;5;4;11;20;–9;;;62; Paysandu;1;6;0;1;5;3;9;–6;;
27; Democrata GV;13;12;3;4;5;15;23;–8;;;63; ASA;1;6;0;1;5;3;13;–10;;
28; Nacional-AM;12;12;3;3;6;17;22;–5;;;64; Esportivo Guará;0;6;0;0;6;3;18;–15;;
29; Linhares;12;12;3;3;6;18;24;–6;;;;;;;;;;;;;;
30; Águia Negra;11;12;2;5;5;10;19;–9;;;;;;;;;;;;;;
31; Imperatriz[nota 5];8;12;5;5;2;13;6;7;;;;;;;;;;;;;;
32; Porto-PE;8;12;2;2;8;11;18;–7;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2008;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;;Colocações finais;;;;;;;;;;;
1; Atlético Goianiense;68;32;21;5;6;84;30;54;Promovidos à Série B de 2009;;Campeão;Atlético Goianiense;;;;;;;;;;
2; Guarani;53;32;15;8;9;47;35;12;;;Vice-campeão;Guarani;;;;;;;;;;
3; Campinense;51;32;13;12;7;43;38;5;;;Estatísticas;;;;;;;;;;;
4; Duque de Caxias;48;32;14;6;12;55;54;1;;;Melhor marcador;Marcão (Atlético Goianiense) – 25 gols;;;;;;;;;;
5; Águia de Marabá;47;32;13;8;11;54;52;2;Eliminados no octogonal final, mas permanecem para a Série C de 2009;;Maior goleada;Atlético Goianiense 7 x 1 Itumbiara;;;;;;;;;;
6; Brasil de Pelotas;49;32;14;7;11;43;44;–1;;;;;;;;;;;;;;
7; Confiança;50;32;15;5;12;54;56;–2;;;;;;;;;;;;;;
8; Rio Branco-AC;51;30;16;3;11;67;56;11;;;;;;;;;;;;;;
9; Guaratinguetá;36;18;11;3;4;26;13;13;Eliminados na terceira fase, mas permanecem para a Série C de 2009;;;;;;;;;;;;;
10; Ituiutaba;34;18;10;4;4;26;18;8;;;;;;;;;;;;;;
11; ASA;31;18;9;4;5;33;19;14;;;;;;;;;;;;;;
12; Paysandu;27;18;7;6;5;24;21;3;;;;;;;;;;;;;;
13; Marcílio Dias;27;18;7;6;5;21;21;0;;;;;;;;;;;;;;
14; Salgueiro;24;18;5;9;4;24;21;3;;;;;;;;;;;;;;
15; Mixto;20;18;5;5;8;24;36;–12;;;;;;;;;;;;;;
16; Luverdense;17;16;4;5;7;28;29;–1;;;;;;;;;;;;;;
17; Sampaio Corrêa;17;12;4;5;3;12;10;2;Eliminados na segunda fase, mas permanecem para a Série C de 2009;;;;;;;;;;;;;
18; Icasa;19;12;5;4;3;12;11;1;;;;;;;;;;;;;;
19; Caxias;15;12;4;3;5;20;13;7;;;;;;;;;;;;;;
20; América Mineiro;18;12;5;3;4;13;8;5;;;;;;;;;;;;;;
21; Vitória da Conquista;20;12;6;2;4;23;18;5;Eliminados na segunda fase;;;;;;;;;;;;;
22; Dom Pedro;16;12;4;4;4;17;20;–3;;;;;;;;;;;;;;
23; Itabuna;16;12;5;1;6;17;23;–6;;;;;;;;;;;;;;
24; Noroeste;15;12;3;6;3;12;12;0;;;;;;;;;;;;;;
25; Picos;16;12;4;4;4;9;12;–3;;;;;;;;;;;;;;
26; Itumbiara;14;12;4;2;6;14;21;–7;;;;;;;;;;;;;;
27; Holanda;18;12;5;3;4;21;20;1;;;;;;;;;;;;;;
28; Remo;17;12;4;5;3;19;15;4;;;;;;;;;;;;;;
29; Santa Cruz;12;12;2;6;4;12;13;–1;;;;;;;;;;;;;;
30; Boavista-RJ;13;12;4;1;7;17;15;2;;;;;;;;;;;;;;
31; Toledo;11;12;2;5;5;14;18;–4;;;;;;;;;;;;;;
32; Ituano;11;12;3;2;7;14;19;–5;;;;;;;;;;;;;;
33; Macaé;9;6;2;3;1;6;4;2;Eliminados na primeira fase;;;;;;;;;;;;;
34; Inter de Santa Maria;8;6;2;2;2;7;5;2;;;;;;;;;;;;;;
35; Bacabal;8;6;2;2;2;8;7;1;;;;;;;;;;;;;;
36; Paulista;8;6;2;2;2;6;6;0;;;;;;;;;;;;;;
37; Cristal;8;6;2;2;2;5;5;0;;;;;;;;;;;;;;
38; Barras;8;6;2;2;2;4;4;0;;;;;;;;;;;;;;
39; Anápolis;8;6;2;2;2;7;11;–4;;;;;;;;;;;;;;
40; Legião;7;6;2;1;3;12;10;2;;;;;;;;;;;;;;
41; Potiguar de Mossoró;7;6;2;1;3;9;10;–1;;;;;;;;;;;;;;
42; Madureira;7;6;2;1;3;8;9;–1;;;;;;;;;;;;;;
43; Alagoinhas;7;6;2;1;3;6;8;–2;;;;;;;;;;;;;;
44; Linense;7;6;2;1;3;5;7;–2;;;;;;;;;;;;;;
45; Tupi;7;6;2;1;3;6;9;–3;;;;;;;;;;;;;;
46; Santa Cruz-RN;7;6;2;1;3;5;8;–3;;;;;;;;;;;;;;
47; J.Malucelli;7;6;1;4;1;4;4;0;;;;;;;;;;;;;;
48; Operário-MS;7;6;1;4;1;3;5;–2;;;;;;;;;;;;;;
49; Serra;6;6;2;0;4;7;11;–4;;;;;;;;;;;;;;
50; Palmas;6;6;2;0;4;6;12;–6;;;;;;;;;;;;;;
51; Engenheiro Beltrão;6;6;2;0;4;3;9;–6;;;;;;;;;;;;;;
52; Central;6;6;1;3;2;1;6;–5;;;;;;;;;;;;;;
53; Sergipe;41;6;3;1;2;9;9;0;;;;;;;;;;;;;;
54; Mirassol;4;6;1;1;4;7;11;–4;;;;;;;;;;;;;;
55; Horizonte;4;6;1;1;4;5;9;–4;;;;;;;;;;;;;;
56; Metropolitano;4;6;0;4;2;4;8;–4;;;;;;;;;;;;;;
57; CSA;3;6;1;0;5;4;10;–6;;;;;;;;;;;;;;
58; Petrolina;3;6;1;0;5;6;14;–8;;;;;;;;;;;;;;
59; Progresso;3;6;1;0;5;3;13;–10;;;;;;;;;;;;;;
60; Treze;2;6;0;2;4;3;8;–5;;;;;;;;;;;;;;
61; Águia Negra;1;6;0;1;5;4;15;–11;;;;;;;;;;;;;;
62; Linhares;1;6;0;1;5;3;18;–15;;;;;;;;;;;;;;
63; Fast Clube;0;4;0;0;4;2;11;–9;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;;;;;;;;;;;;;;
Classificação final;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; América Mineiro;29;14;9;2;3;22;11;11;Finalistas e promovidos à Série B de 2010;Campeão; América Mineiro;;;;;;;;;;;
2; ASA;22;14;6;4;4;21;17;4;;Vice-campeão; ASA;;;;;;;;;;;
3; Guaratinguetá;22;12;7;1;4;21;16;5;Semifinalistas e promovidos à Série B de 2010;Estatísticas;;;;;;;;;;;;
4; Icasa;22;12;6;4;2;25;11;14;;Melhor marcador;8 gols:;;;;;;;;;;;
5; Caxias;17;10;5;2;3;11;9;2;Eliminados nas quartas de final;;Marciano (Icasa);;;;;;;;;;;
6; Brasil de Pelotas;17;10;5;2;3;13;12;1;;;Nena (ASA);;;;;;;;;;;
7; Rio Branco-AC;14;10;4;2;4;18;15;3;;Maior Goleada Boa Esporte-MG 5 x 0 Mixto-MT;;;;;;;;;;;;
8; Paysandu;13;10;3;4;3;14;19;–5;;;;;;;;;;;;;;
9; Marília;15;8;4;3;1;14;8;6;;;;;;;;;;;;;;
10; Salgueiro;13;8;4;1;3;8;12;–4;;;;;;;;;;;;;;
11; Ituiutaba;11;8;3;2;3;13;8;5;;;;;;;;;;;;;;
12; Águia de Marabá;11;8;3;2;3;12;12;0;;;;;;;;;;;;;;
13; Luverdense;11;8;3;2;3;8;9;–1;;;;;;;;;;;;;;
14; Gama;8;8;2;2;4;11;14;–3;;;;;;;;;;;;;;
15; Criciúma;7;8;2;1;5;6;12;–6;;;;;;;;;;;;;;
16; CRB;6;8;2;0;6;8;12;–4;;;;;;;;;;;;;;
17; Sampaio Corrêa;9;8;2;3;3;10;11;–1;Rebaixados à Série D de 2010;;;;;;;;;;;;;
18; Mixto;7;8;2;1;5;8;19;–11;;;;;;;;;;;;;;
19; Confiança;6;8;2;0;6;9;18;–9;;;;;;;;;;;;;;
20; Marcílio Dias;3;8;1;0;7;12;19;–7;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2010;;;;;;;;;;;;;;;;;;;;;;;
Classificação final;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; ABC;26;14;7;5;2;19;8;11;Finalistas e promovidos à Série B de 2011;Campeão;ABC;;;;;;;;;;;
2; Ituiutaba;20;14;4;8;2;12;8;4;;Vice-campeão;Ituiutaba;;;;;;;;;;;
3; Criciúma;17;12;4;5;3;13;9;4;Semifinalistas e promovidos à Série B de 2011;Promovido(s);ABC;;;;;;;;;;;
4; Salgueiro;16;12;4;4;4;16;18;–2;;;Ituiutaba;;;;;;;;;;;
5; Macaé;17;10;5;2;3;15;12;3;Eliminados nas quartas de final;;Criciúma;;;;;;;;;;;
6; Paysandu;15;10;4;3;3;18;13;5;;;Salgueiro;;;;;;;;;;;
7; Chapecoense;13;10;3;4;3;10;10;0;;Rebaixado(s);Alecrim;;;;;;;;;;;
8; Águia de Marabá;12;10;3;3;4;12;11;1;;;Juventude;;;;;;;;;;;
9; Luverdense;12;8;3;3;2;12;10;2;;;Gama;;;;;;;;;;;
10; Fortaleza;12;8;2;6;0;9;7;2;;;São Raimundo-PA;;;;;;;;;;;
11; CRB;11;8;3;2;3;8;11;–3;;Estatísticas;;;;;;;;;;;;
12; Campinense;10;8;3;1;4;7;7;0;;Melhor marcador;Bruno Rangel (Paysandu) – 8 gols;;;;;;;;;;;
13; Caxias;10;8;2;4;2;6;6;0;;Melhor ataque (fase inicial);Paysandu – 15 gols;;;;;;;;;;;
14; Brasil de Pelotas;10;8;2;4;2;4;5;–1;;Melhor defesa (fase inicial);Criciúma, Ituiutaba – 4 gols;;;;;;;;;;;
15; Rio Branco-AC;10;8;2;4;2;12;17;–5;;Maior goleada;Paysandu 6–2 Rio Branco-AC;;;;;;;;;;;
16; Marília;6;8;1;3;4;7;12;–5;;(diferença);Estádio da Curuzu, Belém;;;;;;;;;;;
17; Alecrim;10;8;2;4;2;9;10;–1;Rebaixados à Série D de 2011;;;;;;;;;;;;;
18; Juventude;8;8;1;5;2;6;8;–2;;;;;;;;;;;;;;
19; Gama;5;8;0;5;3;5;11;–6;;;;;;;;;;;;;;
20; São Raimundo-PA;3;8;0;3;5;8;15;–7;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2011;;;;;;;;;;;;;;;;;;;;;;;
Classificação final;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; Joinville;37;16;11;4;1;38;17;21;Finalistas e promovidos à Série B de 2012;Campeão;Joinville;;;;;;;;;;;
2; CRB;23;16;6;5;5;15;22;-7;;Vice-campeão;CRB;;;;;;;;;;;
3; Ipatinga;27;14;9;0;5;24;19;5;Promovidos à Série B de 2012;Promovido(s);Joinville;;;;;;;;;;;
4; América de Natal;25;14;7;4;3;22;12;10;;;Ipatinga;;;;;;;;;;;
5; Chapecoense;21;14;6;3;5;25;19;6;Eliminados na segunda fase;;CRB;;;;;;;;;;;
6; Paysandu;21;14;6;3;5;18;15;3;;;América de Natal;;;;;;;;;;;
7; Brasiliense;17;14;5;2;7;17;21;–4;;Rebaixado(s);Araguaína;;;;;;;;;;;
8; Luverdense;16;14;4;4;6;15;14;1;;;Brasil de Pelotas;;;;;;;;;;;
9; Rio Branco-AC;16;8;5;1;2;12;10;2;;;Campinense;;;;;;;;;;;
10; Águia de Marabá;13;8;4;1;3;11;8;3;;;Marília;;;;;;;;;;;
11; Madureira;10;8;3;1;4;7;8;–1;;Estatísticas;;;;;;;;;;;;
12; Guarany de Sobral;9;8;2;3;3;9;9;0;;Melhor marcador;Ronaldo Capixaba (Joinville) – 11 gols;;;;;;;;;;;
13; Fortaleza;9;8;2;3;3;11;12;–1;;Melhor ataque (fase inicial);Joinville – 17 gols;;;;;;;;;;;
14; Macaé;8;8;2;2;4;14;17;–3;;Melhor defesa (fase inicial);Brasiliense – 5 gols;;;;;;;;;;;
15; Caxias;8;8;2;2;4;11;14;–3;;Maior goleada;Paysandu 5–0 Araguaína;;;;;;;;;;;
16; Santo André;8;8;2;2;4;8;13;–5;;(diferença);Curuzu, Belém;;;;;;;;;;;
17; Campinense;9;8;2;3;3;7;8;–1;Rebaixados à Série D de 2012;;18 de setembro, 10ª rodada;;;;;;;;;;;
18; Marília;8;8;2;2;4;11;17;–6;;;;;;;;;;;;;;
19; Brasil de Pelotas[b];2;8;2;2;4;11;15;–4;;;;;;;;;;;;;;
20; Araguaína;1;8;0;1;7;3;19;–16;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; Oeste;41;24;11;8;5;29;21;8;Promovidos à Série B em 2013;Campeão;Oeste (1º título);;;;;;;;;;;
2; Icasa;32;24;9;5;10;24;26;–2;e finalistas;Vice-campeão;Icasa;;;;;;;;;;;
3; Chapecoense;33;22;9;6;7;27;14;13;Promovidos à Série B em 2013;Promovido(s);Chapecoense;;;;;;;;;;;
4; Paysandu;30;22;7;9;6;34;26;8;e eliminados nas semifinais;;Icasa;;;;;;;;;;;
5; Fortaleza;40;20;11;7;2;30;15;15;Eliminados nas quartas de final;;Oeste;;;;;;;;;;;
6; Luverdense;37;20;11;4;5;33;29;4;;;Paysandu;;;;;;;;;;;
7; Macaé;35;20;10;5;5;36;21;15;;Rebaixado(s);Guarany de Sobral;;;;;;;;;;;
8; Duque de Caxias;30;20;9;3;8;23;25;–2;;;Tupi;;;;;;;;;;;
9; Caxias;27;18;8;3;7;23;26;–3;Eliminados na primeira fase;;Salgueiro;;;;;;;;;;;
10; Brasiliense;23;18;7;2;9;25;29;–4;;;Santo André;;;;;;;;;;;
11; Vila Nova;23;18;6;5;7;27;26;1;;Estatísticas;;;;;;;;;;;;
12; Madureira;23;18;6;5;7;17;21;–4;;Melhor marcador;Dênis Marques (Santa Cruz) – 11 gols;;;;;;;;;;;
13; Treze;22;18;7;1;10;24;33;–9;;Melhor ataque (fase inicial);Macaé – 33 gols;;;;;;;;;;;
14; Santa Cruz;22;18;5;7;6;26;22;4;;Melhor defesa (fase inicial);Fortaleza – 11 gols;;;;;;;;;;;
15; Águia de Marabá;22;18;5;7;6;22;32;–10;;Maiores goleadas;Santa Cruz 6–1 Águia de Marabá;;;;;;;;;;;
16; Cuiabá;20;18;4;8;6;20;21;–1;;(diferença);Estádio do Arruda, Recife;;;;;;;;;;;
17; Salgueiro;20;18;4;8;6;25;29;–4;Rebaixados à Série D de 2013;;25 de agosto, Grupo A;;;;;;;;;;;
18; Santo André;18;18;3;9;6;14;22;–8;;;;;;;;;;;;;;
19; Guarany de Sobral;14;18;3;5;10;21;30;–9;;;Chapecoense 5–0 Tupi;;;;;;;;;;;
20; Tupi;14;18;3;5;10;13;25;–12;;;Arena Condá, Chapecó;;;;;;;;;;;
;;;;;;;;;;;;27 de outubro, Grupo B;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;;;;;;;;;;;
Pos;v;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
;d;;;;;;;;;;Campeão;Santa Cruz (1º título);;;;;;;;;;;
;e;;;;;;;;;;Vice-campeão;Sampaio Corrêa;;;;;;;;;;;
;Equipes;;;;;;;;;;Promovido(s);Santa Cruz;;;;;;;;;;;
1; Santa Cruz;50;26;15;5;6;40;22;18;Promovidos à Série B em 2014;;Sampaio Corrêa;;;;;;;;;;;
2; Sampaio Corrêa;42;26;11;9;6;43;26;15;e finalistas;;Luverdense;;;;;;;;;;;
3; Luverdense;40;24;12;4;8;35;25;10;Promovidos à Série B em 2014;;Vila Nova;;;;;;;;;;;
4; Vila Nova;33;22;9;6;7;23;16;7;e eliminados nas semifinais;Rebaixado(s);Brasiliense;;;;;;;;;;;
5; Treze;36;22;11;3;8;28;35;–7;Eliminados nas quartas de final;;Betim;;;;;;;;;;;
6; Macaé;32;20;9;5;6;31;26;5;;;Grêmio Barueri;;;;;;;;;;;
7; Caxias;29;20;8;5;7;18;19;–1;;;Baraúnas;;;;;;;;;;;
8; Betim;28;20;7;7;6;22;20;2;Eliminado nas quartas de final e;;Rio Branco-AC;;;;;;;;;;;
;;;;;;;;;;rebaixado à Série D de 20141;Estatísticas;;;;;;;;;;;;
9; Fortaleza;32;20;9;5;6;38;23;15;Eliminados na primeira fase;Melhor marcador;Assisinho (Fortaleza) – 12 gols;;;;;;;;;;;
10; CRB;32;20;9;5;6;24;17;7;;Melhor ataque (fase inicial);Fortaleza – 38 gols;;;;;;;;;;;
11; Águia de Marabá;31;20;9;4;7;30;27;3;;Melhor defesa (fase inicial);13 gols:;;;;;;;;;;;
12; Cuiabá;30;20;8;6;6;31;21;10;;;Guarani;;;;;;;;;;;
13; Mogi Mirim;27;18;8;3;7;23;18;5;;;Vila Nova;;;;;;;;;;;
14; Guarani;24;18;5;9;4;15;13;2;;Maiores goleadas;Madureira 6–0 Grêmio Barueri;;;;;;;;;;;
15; Duque de Caxias;19;18;4;7;7;19;22;–3;;(diferença);Estádio Conselheiro Galvão, Rio de Janeiro;;;;;;;;;;;
16; Madureira;19;18;3;10;5;17;17;0;;;10 de agosto, Grupo B;;;;;;;;;;;
17; CRAC;17;18;4;5;9;12;20;–8;;;;;;;;;;;;;;
18; Brasiliense;30;20;8;6;6;20;22;2;Rebaixados à Série D de 2014;;Santa Cruz 6–0 Treze;;;;;;;;;;;
19; Grêmio Barueri;17;18;4;5;9;20;36;–16;;;Estádio do Arruda, Recife;;;;;;;;;;;
20; Baraúnas;13;20;4;1;15;17;44;–27;;;10 de agosto, Grupo A;;;;;;;;;;;
21; Rio Branco-AC;6;20;2;0;18;8;46;–38;;;;;;;;;;;;;;
;;;;;;;;;;;;Fortaleza 6–0 Rio Branco-AC;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2014;;;;;;;;;;;;;;;;;;;;;;;
Pos;Times;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; Macaé;34;24;8;10;6;24;22;2;Promovidos à Série B em 2015;Campeão;Macaé (1º título);;;;;;;;;;;
2; Paysandu;37;24;10;7;7;33;25;8;e finalistas;Vice-campeão;Paysandu;;;;;;;;;;;
3; Mogi Mirim;38;22;11;5;6;26;29;–3;Promovidos à Série B em 2015;Promovido(s);Macaé;;;;;;;;;;;
4; CRB;34;22;10;6;6;27;22;5;e eliminados nas semifinais;;Paysandu;;;;;;;;;;;
5; Fortaleza;37;20;9;10;1;24;12;12;Eliminados nas quartas de final;;Mogi Mirim;;;;;;;;;;;
6; Tupi;34;20;9;7;4;31;16;15;;;CRB;;;;;;;;;;;
7; Salgueiro;28;20;7;7;6;20;23;–3;;Rebaixado(s);São Caetano;;;;;;;;;;;
8; Madureira;26;20;7;5;8;21;21;0;;;Treze;;;;;;;;;;;
9; ASA;25;18;7;4;7;23;22;1;Eliminados na primeira fase;;CRAC;;;;;;;;;;;
10; Guaratinguetá;25;18;6;7;5;32;18;14;;;Duque de Caxias;;;;;;;;;;;
11; Juventude;25;18;6;7;5;16;14;2;;Estatísticas;;;;;;;;;;;;
12; Botafogo-PB;25;18;6;7;5;20;19;1;;Melhor marcador;Ytalo (Guaratinguetá) – 12 gols;;;;;;;;;;;
13; Guarani;24;18;5;9;4;14;15;–1;;Melhor ataque (fase inicial);Guaratinguetá – 32 gols;;;;;;;;;;;
14; Cuiabá;23;18;6;5;7;19;19;0;;Melhor defesa (fase inicial);Fortaleza – 11 gols;;;;;;;;;;;
15; Caxias;22;18;5;7;6;17;20;–3;;Maiores goleadas;Tupi 5–0 Mogi Mirim;;;;;;;;;;;
16; Águia de Marabá;20;18;5;5;8;21;25;–4;;(diferença);Estádio Mario Helênio, Juiz de Fora;;;;;;;;;;;
17; São Caetano;21;18;6;3;9;13;19;–6;Rebaixados à Série D de 2015;;7 de setembro, Grupo B;;;;;;;;;;;
18; Treze;19;18;4;7;7;19;25;–6;;;;;;;;;;;;;;
19; CRAC;101;18;2;7;9;14;26;–12;;;Guaratinguetá 5–0 Madureira;;;;;;;;;;;
20; Duque de Caxias;7;18;1;4;13;10;32;–22;;;Arena Barueri, Barueri;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
2015;;;;;;;;;;;;;;;;;;;;;;;
Pos;Equipes;Pts;J;V;E;D;GP;GC;SG;Classificação ou rebaixamento;Colocações finais;;;;;;;;;;;;
1; Vila Nova;44;24;13;5;6;31;16;15;Promovidos à Série B em 2016;Campeão;Vila Nova (2º título);;;;;;;;;;;
2; Londrina;43;24;11;10;3;26;18;8;e finalistas;Vice-campeão;Londrina;;;;;;;;;;;
3; Tupi;38;22;10;8;4;22;16;6;Promovidos à Série B em 2016;Promovido(s);Vila Nova;;;;;;;;;;;
4; Brasil de Pelotas;35;22;8;11;3;31;20;11;e eliminados nas semifinais;;Londrina;;;;;;;;;;;
5; Fortaleza;37;20;10;7;3;30;15;15;Eliminados nas quartas de final;;Tupi;;;;;;;;;;;
6; ASA;35;20;10;5;5;25;21;4;;;Brasil de Pelotas;;;;;;;;;;;
7; Confiança;32;20;9;5;6;25;17;8;;Rebaixado(s);Águia de Marabá;;;;;;;;;;;
8; Portuguesa;30;20;9;3;8;31;26;5;;;Madureira;;;;;;;;;;;
9; América de Natal;29;18;8;5;5;23;17;6;Eliminados na primeira fase;;Caxias;;;;;;;;;;;
10; Juventude;29;18;7;8;3;30;21;9;;;Icasa;;;;;;;;;;;
11; Guarani;29;18;7;8;3;23;17;6;;Estatísticas;;;;;;;;;;;;
12; Botafogo-PB;23;18;6;5;7;25;30;–5;;Melhor marcador;Guilherme Queiróz (Portuguesa) – 12 gols;;;;;;;;;;;
